latitude,longitude
-6.082,145.392
-5.207,145.789
-5.826,144.296
-6.57,146.726
-9.443,147.22
-3.584,143.669
61.161,-45.427
70.739,-22.646
64.191,-51.678
69.233,-51.067
65.583,-37.15
67.017,-50.689
76.531,-68.703
65.66,-18.072
65.283,-14.401
64.296,-15.227
65.952,-17.426
66.058,-23.135
63.985,-22.606
66.314,-16.461
65.556,-23.965
64.13,-21.941
66.133,-18.917
63.424,-20.279
46.485,-84.509
50.056,-97.032
44.64,-63.499
51.392,-56.084
49.082,-125.772
68.534,-89.808
49.132,-68.207
48.331,-70.996
64.299,-96.078
49.951,-125.271
49.91,-99.952
69.108,-105.138
49.052,-123.87
49.296,-117.632
47.008,-65.449
47.991,-66.331
67.817,-115.144
52.075,-111.445
49.153,-121.939
70.486,-68.517
50.332,-115.874
64.043,-139.128
61.371,-139.041
49.468,-120.512
49.211,-57.391
58.422,-130.032
51.101,-100.052
55.742,-120.182
53.667,-113.467
53.31,-113.58
61.094,-94.071
49.21,-102.966
53.579,-116.465
79.995,-85.813
68.304,-133.483
63.756,-68.556
45.869,-66.532
48.746,-69.097
54.678,-101.682
61.181,-113.69
61.76,-121.237
44.225,-76.597
53.625,-77.704
48.775,-64.479
49.778,-86.939
47.425,-61.778
55.283,-77.767
56.35,-94.7
52.817,-102.311
49.832,-92.744
70.763,-117.806
68.636,-95.85
43.173,-79.935
45.517,-73.417
60.84,-115.783
44.881,-63.509
48.774,-91.639
72.683,-77.967
45.294,-73.281
48.544,-58.55
50.702,-120.442
43.459,-80.384
54.805,-66.805
51.517,-109.181
43.862,-79.37
47.82,-83.346
54.125,-108.523
53.309,-110.072
82.518,-62.281
49.956,-119.378
63.617,-135.867
50.33,-105.559
56.653,-111.222
51.291,-80.608
46.274,-75.99
45.68,-74.039
50.19,-61.789
45.521,-75.564
49.762,-77.803
67.571,-139.839
54.405,-110.279
58.621,-117.165
45.323,-75.669
53.214,-105.673
56.227,-117.447
49.903,-98.275
49.216,-122.71
51.446,-90.214
49.836,-64.289
44.23,-78.363
54.286,-130.445
58.767,-111.117
44.975,-79.303
46.788,-71.398
52.179,-113.893
42.276,-82.956
60.118,-128.822
49.788,-94.363
49.63,-112.8
46.112,-64.679
50.183,-86.696
49.711,-124.887
