icao_code,iata_code,name,latitude,longitude
AYGA, GKA, GOROKA,-6.082,145.392
AYLA, LAE, N/A,0.0,0.0
AYMD, MAG, MADANG,-5.207,145.789
AYMH, HGU, MOUNT HAGEN,-5.826,144.296
AYNZ, LAE, NADZAB,-6.57,146.726
AYPY, POM, PORT MORESBY JACKSONS INTERNATIONAL,-9.443,147.22
AYRB, RAB, N/A,0.0,0.0
AYWK, WWK, WEWAK INTERNATIONAL,-3.584,143.669
BGAM, N/A, N/A,0.0,0.0
BGAS, N/A, N/A,0.0,0.0
BGAT, N/A, N/A,0.0,0.0
BGBW, UAK, NARSARSUAQ,61.161,-45.427
BGCH, JCH, N/A,0.0,0.0
BGCO, N/A, NERLERIT INAAT CONSTABLE PYNT,70.739,-22.646
BGDB, N/A, N/A,0.0,0.0
BGDH, N/A, N/A,0.0,0.0
BGDU, N/A, N/A,0.0,0.0
BGEM, JEG, N/A,0.0,0.0
BGFD, N/A, N/A,0.0,0.0
BGFH, JFR, N/A,0.0,0.0
BGGD, JGR, N/A,0.0,0.0
BGGH, GOH, NUUK,64.191,-51.678
BGGN, JGO, N/A,0.0,0.0
BGHB, JHS, N/A,0.0,0.0
BGIS, N/A, N/A,0.0,0.0
BGIT, N/A, N/A,0.0,0.0
BGJH, JJU, N/A,0.0,0.0
BGJN, JAV, JACOBSHAVN,69.233,-51.067
BGKD, N/A, N/A,0.0,0.0
BGKK, KUS, KULUSUK,65.583,-37.15
BGKM, N/A, N/A,0.0,0.0
BGKT, N/A, N/A,0.0,0.0
BGMV, N/A, N/A,0.0,0.0
BGNN, JNN, N/A,0.0,0.0
BGNS, JNS, N/A,0.0,0.0
BGOS, N/A, N/A,0.0,0.0
BGPC, N/A, N/A,0.0,0.0
BGRS, N/A, N/A,0.0,0.0
BGSC, N/A, N/A,0.0,0.0
BGSF, SFJ, KANGERLUSSUAQ SONDRE STROMFJORD,67.017,-50.689
BGSG, N/A, N/A,0.0,0.0
BGST, JSU, N/A,0.0,0.0
BGTL, THU, THULE AIR BASE,76.531,-68.703
BGTM, N/A, N/A,0.0,0.0
BGTN, N/A, N/A,0.0,0.0
BGUM, N/A, N/A,0.0,0.0
BGUP, JUV, N/A,0.0,0.0
BIAR, AEY, AKUREYRI,65.66,-18.072
BIBL, N/A, N/A,0.0,0.0
BIDV, N/A, N/A,0.0,0.0
BIEG, EGS, EGILSSTADIR,65.283,-14.401
BIFM, N/A, N/A,0.0,0.0
BIGR, GRY, N/A,0.0,0.0
BIHN, HFN, HORNAFJORDUR,64.296,-15.227
BIHU, HZK, HUSAVIK,65.952,-17.426
BIIS, IFJ, ISAFJORDUR,66.058,-23.135
BIKF, KEF, KEFLAVIK NAS,63.985,-22.606
BIKP, OPA, KOPASKER,66.314,-16.461
BIKR, SAK, N/A,0.0,0.0
BINF, NOR, N/A,0.0,0.0
BIPA, PFJ, PATREKSFJORDUR,65.556,-23.965
BIRG, RFN, N/A,0.0,0.0
BIRK, RKV, REYKJAVIK,64.13,-21.941
BISI, SIJ, SIGLUFJORDHUR,66.133,-18.917
BISS, N/A, N/A,0.0,0.0
BIST, N/A, N/A,0.0,0.0
BITE, TEY, N/A,0.0,0.0
BITH, THO, N/A,0.0,0.0
BIVM, VEY, VESTMANNAEYJAR,63.424,-20.279
BIVO, VPN, N/A,0.0,0.0
BZGD, N/A, N/A,0.0,0.0
CUAP, N/A, N/A,0.0,0.0
CUHA, YQC, N/A,0.0,0.0
CUQC, N/A, N/A,0.0,0.0
CUUP, N/A, N/A,0.0,0.0
CWBF, N/A, N/A,0.0,0.0
CWHJ, N/A, N/A,0.0,0.0
CWMK, N/A, N/A,0.0,0.0
CWMN, N/A, N/A,0.0,0.0
CWOH, N/A, N/A,0.0,0.0
CWPC, N/A, N/A,0.0,0.0
CWPO, N/A, N/A,0.0,0.0
CWVA, N/A, N/A,0.0,0.0
CYAB, YAB, N/A,0.0,0.0
CYAJ, N/A, N/A,0.0,0.0
CYAL, YAL, N/A,0.0,0.0
CYAM, YAM, SAULT STE MARIE,46.485,-84.509
CYAV, YAV, WINNIPEG ST ANDREWS,50.056,-97.032
CYAW, YAW, SHEARWATER,44.64,-63.499
CYAY, YAY, ST ANTHONY,51.392,-56.084
CYAZ, YAZ, TOFINO,49.082,-125.772
CYBA, N/A, N/A,0.0,0.0
CYBB, YBB, KUGAARUK,68.534,-89.808
CYBC, YBC, BAIE COMEAU,49.132,-68.207
CYBG, YBG, BAGOTVILLE,48.331,-70.996
CYBK, YBK, BAKER LAKE,64.299,-96.078
CYBL, YBL, CAMPBELL RIVER,49.951,-125.271
CYBR, YBR, BRANDON MUNI,49.91,-99.952
CYBT, YBT, N/A,0.0,0.0
CYCA, YRF, N/A,0.0,0.0
CYCB, YCB, CAMBRIDGE BAY,69.108,-105.138
CYCD, YCD, NANAIMO,49.052,-123.87
CYCG, YCG, CASTLEGAR,49.296,-117.632
CYCH, YCH, MIRAMICHI,47.008,-65.449
CYCL, YCL, CHARLO,47.991,-66.331
CYCO, YCO, KUGLUKTUK,67.817,-115.144
CYCS, YCS, N/A,0.0,0.0
CYCT, YCT, CORONATION,52.075,-111.445
CYCV, YCV, N/A,0.0,0.0
CYCW, YCW, CHILLIWACK,49.153,-121.939
CYCX, N/A, N/A,0.0,0.0
CYCY, YCY, CLYDE RIVER,70.486,-68.517
CYCZ, YZS, FAIRMONT HOT SPRINGS,50.332,-115.874
CYDA, YDA, DAWSON,64.043,-139.128
CYDB, YDB, BURWASH,61.371,-139.041
CYDC, YDC, PRINCETON,49.468,-120.512
CYDF, YDF, DEER LAKE,49.211,-57.391
CYDL, YDL, DEASE LAKE,58.422,-130.032
CYDN, YDN, DAUPHIN BARKER,51.101,-100.052
CYDQ, YDQ, DAWSON CREEK,55.742,-120.182
CYDR, N/A, N/A,0.0,0.0
CYED, YED, EDMONTON NAMAO,53.667,-113.467
CYEG, YEG, EDMONTON INTERNATIONAL,53.31,-113.58
CYEK, YEK, ARVIAT,61.094,-94.071
CYEN, YEN, ESTEVAN,49.21,-102.966
CYEP, N/A, N/A,0.0,0.0
CYET, YET, EDSON,53.579,-116.465
CYEU, YEU, EUREKA,79.995,-85.813
CYEV, YEV, INUVIK MIKE ZUBKO,68.304,-133.483
CYFB, YFB, IQALUIT,63.756,-68.556
CYFC, YFC, FREDERICTON,45.869,-66.532
CYFE, N/A, FORESTVILLE,48.746,-69.097
CYFL, N/A, N/A,0.0,0.0
CYFO, YFO, FLIN FLON,54.678,-101.682
CYFR, YFR, FORT RESOLUTION,61.181,-113.69
CYFS, YFS, FORT SIMPSON,61.76,-121.237
CYGA, N/A, N/A,0.0,0.0
CYGK, YGK, KINGSTON,44.225,-76.597
CYGL, YGL, LA GRANDE RIVIERE,53.625,-77.704
CYGP, YGP, GASPE,48.775,-64.479
